account-abuse-protection|Account Abuse Protection
ad-hoc-query-application|Ad-hoc Query Application
agent-development-platform|Agent Development Platform
agent-evaluation-platform|Agent Evaluation Platform
agent-observability-platform|Agent Observability Platform
agent-orchestration-platform|Agent Orchestration Platform
agent-tool-computer-use-platform|Agent Tool / Computer-use Platform
ai-coding-agent|AI Coding Agent
ai-coding-assistant|AI Coding Assistant
ai-cost-finops-platform|AI Cost / FinOps Platform
ai-gateway-model-routing-platform|AI Gateway / Model Routing Platform
ai-governance-platform|AI Governance Platform
ai-model-evaluation-platform|AI Model Evaluation Platform
ai-model-hosting-platform|AI Model Hosting Platform
ai-safety-guardrail-platform|AI Safety / Guardrail Platform
ai-security-platform|AI Security Platform
ai-software-engineering-agent|AI Software Engineering Agent
aiops-platform|AIOps Platform
analytical-query-editor|Analytical Query Editor
api-design-platform|API Design Platform
api-development-workbench|API Development Workbench
api-documentation-platform|API Documentation Platform
api-gateway-management-console|API Gateway Management Console
api-management-platform|API Management Platform
api-security-platform|API Security Platform
application-deployment-management|Application Deployment Management
application-modernization-platform|Application Modernization Platform
application-performance-monitoring-apm|Application Performance Monitoring / APM
application-portfolio-management|Application Portfolio Management
application-security-platform|Application Security Platform
archive-storage-management|Archive Storage Management
artifact-repository|Artifact Repository
attack-surface-management|Attack Surface Management
backup-management|Backup Management
breach-attack-simulation|Breach & Attack Simulation
browser-compatibility-testing-platform|Browser Compatibility Testing Platform
browser-security-platform|Browser Security Platform
bug-tracking-system|Bug Tracking System
build-automation-system|Build Automation System
business-intelligence-platform|Business Intelligence Platform
capacity-management|Capacity Management
cdn-management|CDN Management
certificate-lifecycle-management|Certificate Lifecycle Management
change-data-capture-platform|Change Data Capture Platform
cloud-cost-management-finops|Cloud Cost Management / FinOps
cloud-ide|Cloud IDE
cloud-management-platform|Cloud Management Platform
cloud-security-posture-management-cspm|Cloud Security Posture Management / CSPM
cloud-workload-protection-cwpp|Cloud Workload Protection / CWPP
cmdb|CMDB
cnapp|CNAPP
code-editor|Code Editor
code-intelligence-platform|Code Intelligence Platform
code-migration-platform|Code Migration Platform
code-quality-platform|Code Quality Platform
code-review-platform|Code Review Platform
code-search-platform|Code Search Platform
configuration-management|Configuration Management
container-kubernetes-security|Container & Kubernetes Security
container-management|Container Management
continuous-delivery-platform|Continuous Delivery Platform
continuous-integration-platform|Continuous Integration Platform
cpaas-management|CPaaS Management
customer-identity-ciam|Customer Identity / CIAM
cyber-asset-management|Cyber Asset Management
cyber-incident-response-platform|Cyber Incident Response Platform
cyber-risk-quantification|Cyber Risk Quantification
dark-web-monitoring|Dark Web Monitoring
dashboard-platform|Dashboard Platform
dast-iast|DAST / IAST
data-access-governance|Data Access Governance
data-catalog|Data Catalog
data-center-infrastructure-management-dcim|Data Center Infrastructure Management / DCIM
data-exchange-platform|Data Exchange Platform
data-fabric-platform|Data Fabric Platform
data-governance-platform|Data Governance Platform
data-integration-platform|Data Integration Platform
data-labeling-platform|Data Labeling Platform
data-lake-platform|Data Lake Platform
data-lineage-platform|Data Lineage Platform
data-loss-prevention-dlp|Data Loss Prevention / DLP
data-observability-platform|Data Observability Platform
data-quality-platform|Data Quality Platform
data-replication-platform|Data Replication Platform
data-science-workbench|Data Science Workbench
data-security-posture-management-dspm|Data Security Posture Management / DSPM
data-virtualization-platform|Data Virtualization Platform
data-visualization-application|Data Visualization Application
data-warehouse-platform|Data Warehouse Platform
database-dev-test-environment-manager|Database Dev/Test Environment Manager
database-ide|Database IDE
database-management-console|Database Management Console
database-sandbox-platform|Database Sandbox Platform
database-schema-design-tool|Database Schema Design Tool
dataops-platform|DataOps Platform
ddos-protection-platform|DDoS Protection Platform
debugger|Debugger
deception-platform|Deception Platform
dependency-management-application|Dependency Management Application
desktop-app-development-framework-builder|Desktop App Development Framework / Builder
desktop-application-delivery|Desktop & Application Delivery
dev-container-workspace-platform|Dev Container / Workspace Platform
developer-documentation-portal|Developer Documentation Portal
developer-environment-manager|Developer Environment Manager
device-testing-platform|Device Testing Platform
digital-employee-experience-management|Digital Employee Experience Management
digital-experience-monitoring|Digital Experience Monitoring
digital-forensics-platform|Digital Forensics Platform
digital-risk-protection|Digital Risk Protection
disaster-recovery-platform|Disaster Recovery Platform
distributed-tracing|Distributed Tracing
dns-dhcp-management|DNS & DHCP Management
edi-platform|EDI Platform
email-authentication-dmarc-management|Email Authentication / DMARC Management
email-infrastructure-management|Email Infrastructure Management
email-security-gateway|Email Security Gateway
embedded-firmware-development-ide|Embedded / Firmware Development IDE
encryption-key-management|Encryption & Key Management
end-to-end-testing-platform|End-to-end Testing Platform
endpoint-detection-response-edr|Endpoint Detection & Response / EDR
endpoint-management-uem|Endpoint Management / UEM
endpoint-protection-platform|Endpoint Protection Platform
engineering-productivity-analytics|Engineering Productivity Analytics
engineering-project-management-platform|Engineering Project Management Platform
enterprise-ai-assistant|Enterprise AI Assistant
enterprise-knowledge-assistant|Enterprise Knowledge Assistant
error-tracking-platform|Error Tracking Platform
etl-elt-platform|ETL / ELT Platform
event-stream-processing-platform|Event Stream Processing Platform
extended-detection-response-xdr|Extended Detection & Response / XDR
feature-flag-management-platform|Feature Flag Management Platform
feature-store|Feature Store
fraud-prevention-platform|Fraud Prevention Platform
game-engine-game-development-platform|Game Engine / Game Development Platform
graph-database-explorer|Graph Database Explorer
hyperconverged-infrastructure-management|Hyperconverged Infrastructure Management
identity-access-management-iam|Identity & Access Management / IAM
identity-governance-iga|Identity Governance / IGA
identity-verification|Identity Verification
incident-management|Incident Management
infrastructure-as-code-platform|Infrastructure-as-Code Platform
infrastructure-automation-platform|Infrastructure Automation Platform
infrastructure-monitoring|Infrastructure Monitoring
insider-risk-management|Insider Risk Management
integrated-development-environment-ide|Integrated Development Environment / IDE
internal-developer-platform-idp|Internal Developer Platform / IDP
internal-developer-portal|Internal Developer Portal
iot-security-platform|IoT Security Platform
ip-address-management-ipam|IP Address Management / IPAM
issue-tracker|Issue Tracker
it-asset-management|IT Asset Management
it-change-management|IT Change Management
it-operations-management-itom|IT Operations Management / ITOM
it-problem-management|IT Problem Management
it-service-management-itsm|IT Service Management / ITSM
knowledge-graph-explorer|Knowledge Graph Explorer
knowledge-graph-platform|Knowledge Graph Platform
kubernetes-management-platform|Kubernetes Management Platform
kyc-kyb-platform|KYC / KYB Platform
lakehouse-platform|Lakehouse Platform
llm-application-development-platform|LLM Application Development Platform
llm-evaluation-platform|LLM Evaluation Platform
llm-observability-platform|LLM Observability Platform
load-balancer-management|Load Balancer Management
load-testing-platform|Load Testing Platform
log-management|Log Management
low-code-application-platform|Low-code Application Platform
machine-identity-management|Machine Identity Management
machine-learning-platform|Machine Learning Platform
malware-analysis-sandbox|Malware Analysis Sandbox
managed-file-transfer|Managed File Transfer
master-data-management|Master Data Management
message-queue-management|Message Queue Management
metadata-management-platform|Metadata Management Platform
metrics-monitoring|Metrics Monitoring
ml-model-monitoring-platform|ML Model Monitoring Platform
mlops-platform|MLOps Platform
mobile-app-development-platform|Mobile App Development Platform
mobile-threat-defense|Mobile Threat Defense
model-api-platform|Model API Platform
model-registry|Model Registry
msp-management-platform|MSP Management Platform
multi-factor-authentication-mfa|Multi-factor Authentication / MFA
network-detection-response-ndr|Network Detection & Response / NDR
network-management|Network Management
network-monitoring|Network Monitoring
network-security-platform|Network Security Platform
no-code-application-builder|No-code Application Builder
observability-platform|Observability Platform
olap-multidimensional-analytics-platform|OLAP / Multidimensional Analytics Platform
on-call-management|On-call Management
ot-security-platform|OT Security Platform
paas-management-console|PaaS Management Console
package-registry|Package Registry
password-manager|Password Manager
patch-management|Patch Management
penetration-testing-management|Penetration Testing Management
performance-testing-application|Performance Testing Application
pki-management|PKI Management
privileged-access-management-pam|Privileged Access Management / PAM
product-discovery-platform|Product Discovery Platform
product-management-platform|Product Management Platform
product-roadmap-application|Product Roadmap Application
profiler|Profiler
project-scaffolding-code-generator|Project Scaffolding / Code Generator
prompt-management-platform|Prompt Management Platform
rag-development-platform|RAG Development Platform
rdf-sparql-workbench|RDF / SPARQL Workbench
release-management-platform|Release Management Platform
remote-monitoring-management-rmm|Remote Monitoring & Management / RMM
reporting-platform|Reporting Platform
requirements-management-platform|Requirements Management Platform
reverse-etl-platform|Reverse ETL Platform
saas-management|SaaS Management
saas-security-posture-management-sspm|SaaS Security Posture Management / SSPM
sase-sse-platform|SASE / SSE Platform
sast|SAST
sbom-management|SBOM Management
search-platform|Search Platform
secrets-management|Secrets Management
secrets-security|Secrets Security
security-awareness-platform|Security Awareness Platform
security-compliance-platform|Security Compliance Platform
security-program-management|Security Program Management
security-ratings-platform|Security Ratings Platform
security-validation-platform|Security Validation Platform
semantic-search-platform|Semantic Search Platform
server-management-platform|Server Management Platform
serverless-management-platform|Serverless Management Platform
service-mesh-management|Service Mesh Management
siem|SIEM
single-sign-on-sso|Single Sign-on / SSO
soar|SOAR
soc-platform|SOC Platform
software-architecture-modeling|Software Architecture Modeling
software-composition-analysis-sca|Software Composition Analysis / SCA
software-delivery-governance-platform|Software Delivery Governance Platform
software-localization-management|Software Localization Management
software-supply-chain-security|Software Supply Chain Security
software-test-management|Software Test Management
source-code-hosting-platform|Source Code Hosting Platform
sql-client|SQL Client
sql-workbench|SQL Workbench
sre-management|SRE Management
static-code-analysis-platform|Static Code Analysis Platform
status-page-platform|Status Page Platform
storage-management|Storage Management
stream-analytics-platform|Stream Analytics Platform
synthetic-data-platform|Synthetic Data Platform
synthetic-monitoring|Synthetic Monitoring
system-design-application|System Design Application
telecom-expense-management|Telecom Expense Management
test-automation-platform|Test Automation Platform
third-party-cyber-risk-platform|Third-party Cyber Risk Platform
threat-hunting-platform|Threat Hunting Platform
threat-intelligence-platform|Threat Intelligence Platform
time-series-database-workbench|Time-series Database Workbench
unit-integration-test-runner|Unit / Integration Test Runner
vector-database-console|Vector Database Console
vector-retrieval-platform|Vector Retrieval Platform
version-control-system|Version Control System
virtualization-management|Virtualization Management
vulnerability-management|Vulnerability Management
web-application-builder|Web Application Builder
web-application-firewall-waf|Web Application Firewall / WAF
web-development-ide|Web Development IDE
zero-trust-network-access-ztna|Zero Trust Network Access / ZTNA
